franchise_id,team_id,league,division,location,nickname,alternative_nicknames,date_start,date_end,city,state
PH4,PH4,AA,,Philadelphia,Athletics,,1882-05-01,1890-10-15,Philadelphia,PA
PHP,PH4,AA,,Philadelphia,Athletics,,1891-04-08,1891-10-06,Philadelphia,PA
BLN,BL2,AA,,Baltimore,Orioles,,1883-05-01,1889-10-15,Baltimore,MD
CL5,CL5,AA,,Columbus,Buckeyes,,1883-05-01,1884-10-19,Columbus,OH
NY4,NY4,AA,,New York,Metropolitans,,1883-05-01,1887-10-10,New York,NY
IN3,SLU,UA,,St. Louis,Maroons,,1884-04-17,1884-10-19,St. Louis,MO
IN3,SL5,NL,,St. Louis,Maroons,,1885-04-18,1886-10-15,St. Louis,MO
IN3,IN3,NL,,Indianapolis,Hoosiers,,1887-04-16,1889-10-15,Indianapolis,IN
ALT,ALT,UA,,Altoona,Mountain Citys,,1884-04-17,1884-10-19,Altoona,PA
BLU,BLU,UA,,Baltimore,Monumentals,,1884-04-17,1884-10-19,Baltimore,MD
BSU,BSU,UA,,Boston,Reds,,1884-04-17,1884-10-19,Boston,MA
CHU,CHU,UA,,Chicago,Browns,,1884-04-17,1884-08-22,Chicago,IL
CHU,CHU,UA,,Pittsburgh,Stogies,,1884-08-23,1884-10-19,Pittsburgh,PA
CNU,CNU,UA,,Cincinnati,Outlaws,,1884-04-17,1884-10-19,Cincinnati,OH
IN2,IN2,AA,,Indianapolis,Hoosiers,,1884-04-17,1884-10-19,Indianapolis,IN
KCU,KCU,UA,,Kansas City,Cowboys,,1884-04-17,1884-10-19,Kansas City,MO
MLU,MLU,UA,,Milwaukee,Brewers,,1884-04-17,1884-10-19,Milwaukee,WI
PHU,PHU,UA,,Philadelphia,Keystones,,1884-04-17,1884-10-19,Philadelphia,PA
SPU,SPU,UA,,St. Paul,Saints,,1884-04-17,1884-10-19,St. Paul,MN
RIC,RIC,AA,,Richmond,Virginians,,1884-04-17,1884-10-19,Richmond,VA
TL1,TL1,AA,,Toledo,Blue Stockings,,1884-04-17,1884-10-19,Toledo,OH
WIL,WIL,UA,,Wilmington,Quicksteps,,1884-04-17,1884-10-19,Wilmington,DE
WS7,WS7,AA,,Washington,Nationals,Statesmen,1884-04-17,1884-10-19,Washington,DC
WSU,WSU,UA,,Washington,Nationals,,1884-04-17,1884-10-19,Washington,DC
KCN,KCN,NL,,Kansas City,Cowboys,,1886-04-17,1886-10-15,Kansas City,MO
WS8,WS8,NL,,Washington,Nationals,,1886-04-17,1889-10-15,Washington,DC
CL4,CL3,AA,,Cleveland,Spiders,Blues,1887-04-16,1888-10-17,Cleveland,OH
CL4,CL4,NL,,Cleveland,Spiders,,1889-04-17,1899-10-15,Cleveland,OH
KC2,KC2,AA,,Kansas City,Cowboys,,1888-04-17,1889-10-15,Kansas City,MO
CL6,CL6,AA,,Columbus,Solons,,1889-04-17,1891-10-06,Columbus,OH
BFP,BFP,PL,,Buffalo,Bisons,,1890-04-17,1890-10-15,Buffalo,NY
BLN,BL3,AA,,Baltimore,Orioles,,1890-04-17,1891-10-06,Baltimore,MD
BR4,BR4,AA,,Brooklyn,Gladiators,,1890-04-17,1890-10-15,Brooklyn,NY
BRP,BRP,PL,,Brooklyn,Ward's Wonders,Wonders,1890-04-17,1890-10-15,Brooklyn,NY
BS2,BSP,PL,,Boston,Reds,,1890-04-17,1890-10-15,Boston,MA
CHP,CHP,PL,,Chicago,Pirates,,1890-04-17,1890-10-15,Chicago,IL
CLP,CLP,PL,,Cleveland,Infants,,1890-04-17,1890-10-15,Cleveland,OH
NYP,NYP,PL,,New York,Giants,,1890-04-17,1890-10-15,New York,NY
PHP,PHP,PL,,Philadelphia,Quakers,Athletics,1890-04-17,1890-10-15,Philadelphia,PA
PTP,PTP,PL,,Pittsburgh,Burghers,,1890-04-17,1890-10-15,Pittsburgh,PA
RC2,RC2,AA,,Rochester,Broncos,,1890-04-17,1890-10-15,Rochester,NY
SR2,SR2,AA,,Syracuse,Stars,,1890-04-17,1890-10-15,Syracuse,NY
TL2,TL2,AA,,Toledo,Maumees,,1890-04-17,1890-10-15,Toledo,OH
BS2,BS2,AA,,Boston,Reds,,1891-04-08,1891-10-06,Boston,MA
CN3,CN3,AA,,Cincinnati,Kelly's Killers,,1891-04-08,1891-10-06,Cincinnati,OH
ML3,ML3,AA,,Milwaukee,Brewers,,1891-04-08,1891-10-06,Milwaukee,WI
WSN,WS9,AA,,Washington,Senators,,1891-04-08,1891-10-06,Washington,DC
WSN,WSN,NL,,Washington,Senators,Statesmen;Nationals,1892-04-12,1899-10-15,Washington,DC
BLN,BLN,NL,,Baltimore,Orioles,,1892-04-12,1899-10-15,Baltimore,MD
BLF,BLF,FL,,Baltimore,Terrapins,,1914-04-13,1915-10-13,Baltimore,MD
BRF,BRF,FL,,Brooklyn,Tip-Tops,,1914-04-13,1915-10-13,Brooklyn,NY
BUF,BUF,FL,,Buffalo,Blues,,1914-04-13,1915-10-13,Buffalo,NY
CHF,CHF,FL,,Chicago,Whales,,1914-04-13,1915-10-13,Chicago,IL
NEW,IND,FL,,Indianapolis,Hoosiers,,1914-04-13,1914-10-13,Indianapolis,IN
NEW,NEW,FL,,Newark,Peppers,,1915-04-10,1915-10-13,Newark,NJ
KCF,KCF,FL,,Kansas City,Packers,,1914-04-13,1915-10-13,Kansas City,MO
PTF,PTF,FL,,Pittsburgh,Rebels,,1914-04-13,1915-10-13,Pittsburgh,PA
SLF,SLF,FL,,St. Louis,Terriers,,1914-04-13,1915-10-13,St. Louis,MO
ACY,ACY,ECL,,Atlantic City,Bacharach Giants,,1916-01-01,1929-12-31,Atlantic City,NJ
AGS,AGS,,,Augie Galan,All Stars,,1944-01-01,1944-12-31,,
AKR,AKR,,,Akron,Grays,,1933-01-01,1933-12-31,Akron,OH
ALS,ALS,,,American League,All Stars,,1926-01-01,1935-12-31,,
ASB,ASB,,,Baltimore,All Stars,,1927-01-01,1932-12-31,Baltimore,MD
ASC,ASC,,,Max Carey,All Stars,,1930-01-01,1931-12-31,,
ASD,ASD,,,Dizzy Dean,All Stars,,1934-01-01,1942-12-31,,
ASE,ASE,,,East,All Stars,,1933-01-01,1948-12-31,,
ASF,ASF,,,Bob Feller,All Stars,,1945-01-01,1947-12-31,,
ASG,ASG,,,Lefty Grove,All Stars,,1930-01-01,1930-12-31,,
ASL,ASL,,,Lou Gehrig,All Stars,,1929-01-01,1929-12-31,,
ASO,ASO,,,Steve O'Neill,All Stars,,1931-01-01,1931-12-31,,
ASP,ASP,,,Satchel Paige,All-Stars,,1946-01-01,1946-12-31,,
AST,AST,,,Taylor,All Stars,,1940-01-01,1940-12-31,,
ASW,ASW,,,West,All Stars,,1933-01-01,1948-12-31,,
ATN,ATN,,,Atlanta,Black Crackers,,1932-01-01,1939-12-31,Atlanta,GA
BCG,BCG,,,Baltimore,Colored Giants,,1943-01-01,1943-12-31,Baltimore,MD
